date,version,py_files,loc_src,max_file_lines,files_over_500,functions,max_func_lines,funcs_over_50,c901_over_10,ruff_debt,pyright_errors,vulture,refurb,docstring_cov,test_cov,min_file_cov
2026-07-04,0.1.0,26,1220,107,0,70,39,0,0,0,0,0,0,100.0,99.81,98.18
2026-07-04,0.1.0,27,1305,156,0,73,39,0,0,0,0,0,0,100.0,99.82,98.41
2026-07-04,0.1.0,28,1533,207,0,84,39,0,0,0,0,0,0,100.0,99.4,96.0
2026-07-04,0.1.0,28,1536,207,0,84,39,0,0,0,0,0,0,100.0,99.4,96.0
2026-07-04,0.1.0,41,2363,207,0,125,40,0,0,0,0,0,0,100.0,99.59,96.0
2026-07-04,0.1.0,41,2363,207,0,125,40,0,0,0,0,0,0,100.0,99.59,96.0
2026-07-04,0.1.0,43,2610,223,0,141,40,0,0,0,0,0,0,100.0,99.63,96.0
2026-07-04,0.1.0,43,2612,223,0,141,40,0,0,0,0,0,0,100.0,99.63,96.0
2026-07-04,0.1.0,43,2634,223,0,141,40,0,0,0,0,0,0,100.0,99.63,96.0
2026-07-04,0.2.0,43,2679,222,0,142,42,0,0,0,0,0,0,100.0,99.63,96.0
